,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-12-14,56.52°,56.13°,55.52°,55.15°,54.61°,53.91°,53.25°,53.22°,55.1°,57.87°,60.4°,62.62°,64.16°,64.86°,64.48°,63.53°,62.33°,60.99°,59.4°,58.12°,57.07°,56.11°,55.02°,54°
2019-12-15,53.02°,52.53°,51.82°,50.99°,50°,48.81°,47.78°,48°,50.24°,53.68°,56.85°,59.64°,62.35°,64.3°,64.75°,64.09°,62.52°,60.32°,57.73°,55.24°,54.07°,53°,52.09°,50.92°
2019-12-16,50.17°,49.62°,48.8°,47.96°,47.35°,47.81°,47.38°,48.3°,51.65°,56.2°,59.89°,62.82°,65.5°,67.57°,68.51°,68.62°,66.97°,63.57°,59.19°,55.76°,53.63°,52.3°,51.29°,50.64°
2019-12-17,49.97°,49.54°,49.05°,48.46°,47.94°,47.2°,46.4°,46.84°,50.13°,54.65°,58.62°,61.79°,64.43°,66.61°,67.71°,67.92°,66.78°,64°,59.91°,56.69°,54.77°,53.77°,52.85°,51.81°
2019-12-18,51.27°,50.78°,50.54°,50.4°,50.23°,50.02°,49.68°,49.85°,51.56°,54.14°,56.54°,58.44°,60.28°,61.47°,61.95°,61.6°,60.45°,57.87°,54.98°,52.26°,50.94°,50.19°,49.25°,48.1°
2019-12-19,47.32°,47.02°,46.98°,47.09°,47.15°,46.51°,45.7°,46.14°,49.29°,53.91°,58.19°,61.26°,64.03°,65.73°,66.29°,65.64°,64.09°,60.52°,56.51°,53.16°,51.62°,50.84°,50.15°,49.01°
2019-12-20,48.41°,48.13°,47.77°,47.42°,47.13°,46.39°,45.47°,46.16°,49.66°,54.83°,59.56°,63.06°,66.27°,68.25°,68.85°,67.99°,66.28°,62.88°,58.34°,54.91°,53.37°,52.74°,51.91°,50.95°
2019-12-21,50.46°,50.22°,49.94°,49.73°,49.48°,48.85°,48.2°,48.88°,51.9°,56.15°,60.14°,63.26°,66.1°,67.74°,68.14°,67.02°,65.16°,61.8°,57.46°,54.16°,52.56°,51.77°,50.95°,50.11°
2019-12-22,49.85°,49.85°,49.82°,49.83°,49.67°,49.14°,48.53°,49.02°,51.31°,54.89°,57.8°,59.98°,61.84°,62.9°,64.16°,63.25°,61.75°,59.95°,58.14°,56.55°,55.3°,54.41°,53.76°,53.22°
2019-12-23,52.65°,51.99°,51.26°,50.6°,50.21°,50.31°,51.05°,52.49°,54.55°,57°,59.53°,61.77°,63.4°,64.21°,64.11°,63.21°,61.71°,59.91°,58.1°,56.51°,55.26°,54.36°,53.71°,53.17°
2019-12-24,52.6°,51.94°,51.22°,50.56°,50.17°,50.26°,50.99°,52.43°,54.48°,56.94°,59.47°,61.71°,63.35°,64.16°,64.07°,63.17°,61.68°,59.88°,58.07°,56.48°,55.23°,54.32°,53.67°,53.13°
2019-12-25,52.56°,51.9°,51.18°,50.52°,50.13°,50.21°,50.94°,52.37°,54.42°,56.87°,59.4°,61.65°,63.3°,64.11°,64.03°,63.14°,61.65°,59.85°,58.04°,56.45°,55.19°,54.29°,53.64°,53.1°
2019-12-26,52.53°,51.87°,51.15°,50.49°,50.09°,50.17°,50.89°,52.31°,54.36°,56.81°,59.34°,61.6°,63.25°,64.07°,64°,63.11°,61.63°,59.83°,58.02°,56.42°,55.17°,54.26°,53.6°,53.06°
2019-12-27,52.5°,51.84°,51.12°,50.45°,50.05°,50.13°,50.85°,52.27°,54.31°,56.76°,59.29°,61.55°,63.2°,64.04°,63.97°,63.09°,61.61°,59.81°,58°,56.4°,55.14°,54.23°,53.58°,53.04°
2019-12-28,52.47°,51.81°,51.09°,50.43°,50.02°,50.09°,50.81°,52.22°,54.26°,56.7°,59.24°,61.5°,63.16°,64°,63.94°,63.07°,61.59°,59.8°,57.99°,56.39°,55.12°,54.21°,53.55°,53.01°
2019-12-29,52.45°,51.79°,51.07°,50.4°,50°,50.06°,50.77°,52.18°,54.21°,56.66°,59.19°,61.46°,63.13°,63.97°,63.92°,63.06°,61.58°,59.79°,57.98°,56.37°,55.11°,54.19°,53.53°,52.99°
2019-12-30,52.43°,51.77°,51.05°,50.39°,49.98°,50.04°,50.74°,52.14°,54.17°,56.61°,59.15°,61.42°,63.09°,63.95°,63.91°,63.04°,61.57°,59.78°,57.97°,56.36°,55.1°,54.18°,53.52°,52.98°
2019-12-31,52.41°,51.76°,51.04°,50.37°,49.96°,50.02°,50.71°,52.11°,54.14°,56.58°,59.11°,61.38°,63.07°,63.93°,63.89°,63.04°,61.57°,59.78°,57.97°,56.36°,55.09°,54.17°,53.51°,52.96°
2020-01-01,52.4°,51.75°,51.03°,50.36°,49.95°,50°,50.69°,52.08°,54.1°,56.54°,59.08°,61.35°,63.04°,63.91°,63.88°,63.03°,61.57°,59.78°,57.97°,56.36°,55.08°,54.16°,53.5°,52.96°
2020-01-02,52.4°,51.74°,51.02°,50.35°,49.94°,49.98°,50.67°,52.06°,54.07°,56.51°,59.05°,61.33°,63.02°,63.9°,63.88°,63.03°,61.57°,59.79°,57.97°,56.36°,55.08°,54.16°,53.49°,52.95°
2020-01-03,52.39°,51.74°,51.02°,50.35°,49.93°,49.97°,50.65°,52.04°,54.05°,56.48°,59.02°,61.31°,63°,63.89°,63.87°,63.03°,61.58°,59.8°,57.98°,56.36°,55.09°,54.16°,53.49°,52.95°
2020-01-04,52.39°,51.74°,51.02°,50.35°,49.93°,49.97°,50.64°,52.02°,54.03°,56.46°,59°,61.29°,62.99°,63.88°,63.87°,63.04°,61.59°,59.81°,57.99°,56.37°,55.09°,54.16°,53.5°,52.95°
