,Day Temperature,Night Temperature
2019-12-14,59.75,54.79
2019-12-15,57.61,50.37
2019-12-16,59.63,48.42
2019-12-17,59.53,48.17
2019-12-18,55.63,50.35
2019-12-19,57.51,46.74
2019-12-20,59.37,47.11
2019-12-21,59.03,49.47
2019-12-22,58.08,49.46
2019-12-23,58.78,51.32
2019-12-24,58.74,51.27
2019-12-25,58.7,51.23
2019-12-26,58.66,51.19
2019-12-27,58.63,51.15
2019-12-28,58.6,51.12
2019-12-29,58.57,51.09
2019-12-30,58.55,51.07
2019-12-31,58.53,51.05
2020-01-01,58.52,51.03
2020-01-02,58.51,51.02
2020-01-03,58.5,51.01
2020-01-04,58.5,51.01
2020-01-05,58.5,51.01
2020-01-06,58.51,51.01
2020-01-07,58.51,51.01
2020-01-08,58.53,51.02
2020-01-09,58.54,51.04
2020-01-10,58.56,51.05
2020-01-11,58.58,51.07
2020-01-12,58.6,51.09
2020-01-13,58.62,51.11
2020-01-14,58.65,51.14
2020-01-15,58.68,51.17
2020-01-16,58.72,51.2
2020-01-17,58.75,51.24
2020-01-18,58.79,51.27
2020-01-19,58.83,51.31
2020-01-20,58.87,51.35
2020-01-21,58.91,51.39
2020-01-22,58.96,51.44
2020-01-23,59.0,51.48
2020-01-24,59.05,51.53
2020-01-25,59.1,51.58
2020-01-26,59.15,51.63
2020-01-27,59.2,51.68
2020-01-28,59.25,51.73
2020-01-29,59.31,51.78
2020-01-30,59.36,51.84
2020-01-31,59.42,51.89
2020-02-01,59.47,51.95
2020-02-02,59.53,52.01
2020-02-03,59.58,52.06
2020-02-04,59.64,52.12
2020-02-05,59.7,52.18
2020-02-06,59.76,52.23
2020-02-07,59.82,52.29
2020-02-08,59.88,52.35
2020-02-09,59.93,52.41
2020-02-10,59.99,52.47
2020-02-11,60.05,52.53
2020-02-12,60.11,52.58
2020-02-13,60.17,52.64
2020-02-14,60.23,52.7
2020-02-15,60.28,52.76
2020-02-16,60.34,52.82
2020-02-17,60.4,52.88
2020-02-18,60.45,52.93
2020-02-19,60.51,52.99
2020-02-20,60.57,53.04
2020-02-21,60.62,53.1
2020-02-22,60.68,53.15
2020-02-23,60.73,53.21
2020-02-24,60.79,53.27
2020-02-25,60.84,53.32
2020-02-26,60.89,53.37
2020-02-27,60.95,53.42
2020-02-28,61.0,53.48
2020-02-29,61.05,53.53
2020-03-01,61.1,53.58
2020-03-02,61.15,53.63
2020-03-03,61.2,53.68
2020-03-04,61.26,53.74
2020-03-05,61.31,53.79
2020-03-06,61.36,53.84
2020-03-07,61.41,53.89
2020-03-08,61.38,53.82
2020-03-09,61.44,54.13
2020-03-10,61.48,54.18
2020-03-11,61.53,54.22
