,Day Temperature,Night Temperature
2019-12-14,71°,54°
2019-12-15,64°,50°
2019-12-16,64°,43°
2019-12-17,67°,41°
2019-12-18,64°,44°
2019-12-19,64°,50°
2019-12-20,66°,55°
2019-12-21,69°,55°
2019-12-22,68°,51°
2019-12-23,66°,50°
2019-12-24,66°,48°
2019-12-25,63°,49°
2019-12-26,64°,47°
2019-12-27,62°,48°
2019-12-28,63°,49°
2019-12-29,65°,45°
2019-12-30,63°,49°
2019-12-31,67°,47°
2020-01-01,66°,50°
2020-01-02,66°,48°
2020-01-03,66°,47°
2020-01-04,67°,43°
2020-01-05,62°,44°
2020-01-06,62°,43°
2020-01-07,60°,42°
2020-01-08,68°,42°
2020-01-09,67°,42°
2020-01-10,67°,47°
2020-01-11,68°,47°
2020-01-12,69°,48°
2020-01-13,68°,51°
2020-01-14,70°,50°
2020-01-15,70°,50°
2020-01-16,69°,51°
2020-01-17,70°,51°
2020-01-18,71°,52°
2020-01-19,72°,54°
2020-01-20,73°,48°
2020-01-21,73°,46°
2020-01-22,65°,45°
2020-01-23,65°,46°
2020-01-24,66°,50°
2020-01-25,66°,48°
2020-01-26,65°,49°
2020-01-27,66°,50°
2020-01-28,69°,48°
2020-01-29,69°,47°
2020-01-30,67°,44°
2020-01-31,67°,44°
2020-02-01,64°,44°
2020-02-02,64°,47°
2020-02-03,67°,47°
2020-02-04,67°,49°
2020-02-05,66°,53°
2020-02-06,68°,47°
2020-02-07,67°,47°
2020-02-08,66°,48°
2020-02-09,67°,48°
2020-02-10,65°,47°
2020-02-11,67°,46°
2020-02-12,67°,46°
2020-02-13,68°,50°
2020-02-14,66°,52°
2020-02-15,65°,49°
2020-02-16,68°,50°
2020-02-17,70°,55°
2020-02-18,70°,47°
2020-02-19,68°,46°
2020-02-20,65°,48°
2020-02-21,69°,49°
2020-02-22,70°,51°
2020-02-23,71°,53°
2020-02-24,73°,54°
2020-02-25,74°,56°
2020-02-26,75°,51°
2020-02-27,74°,51°
2020-02-28,69°,50°
2020-02-29,73°,47°
2020-03-01,65°,47°
2020-03-02,66°,48°
2020-03-03,65°,49°
2020-03-04,66°,48°
2020-03-05,69°,48°
2020-03-06,65°,47°
2020-03-07,66°,50°
2020-03-08,71°,48°
2020-03-09,73°,49°
2020-03-10,71°,48°
2020-03-11,68°,49°
