,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2012-01-01,54.94°,54.43°,53.18°,53.07°,54.4°,53.65°,49.61°,51.41°,53.48°,64.37°,70.15°,76.19°,80.42°,83.4°,82.93°,82.77°,77.74°,69.82°,67.15°,62.62°,60.69°,59.38°,57.81°,56.35°
2012-01-02,55.3°,54.14°,52.91°,51.95°,51.08°,51.87°,51.44°,53.29°,52.85°,60.21°,69.27°,75.66°,75.99°,79.91°,83.99°,81.37°,79.61°,71.92°,66.74°,62.32°,60.71°,61.21°,61.28°,60.63°
2012-01-03,58.33°,56.59°,55.02°,55.52°,53.44°,53.62°,54.06°,55.06°,58.12°,64.61°,70.83°,76.66°,81.51°,83.75°,84.47°,82.23°,79.27°,73.63°,68.61°,65.03°,62.78°,61.93°,59.81°,58.56°
2012-01-04,57.7°,56.93°,58.4°,57.61°,57.48°,56.61°,54.39°,55.97°,57.97°,66.71°,73.49°,79.12°,82.87°,85.33°,87.29°,86.93°,80.94°,75.99°,71.78°,68.03°,64.95°,63.6°,62.96°,64.19°
2012-01-05,61.6°,61.83°,62.38°,61.6°,60.68°,59.06°,58.68°,57.54°,60.18°,66.96°,73.37°,78.43°,82.09°,84.97°,84.61°,84.21°,78.8°,73.51°,69.13°,65.38°,63.19°,62.08°,60.45°,59.04°
2012-01-06,58.12°,56.78°,55.54°,53.87°,53.29°,52.57°,51.46°,51.34°,54.02°,60.54°,67.49°,71.51°,74.83°,75.22°,75.47°,73.02°,70.66°,66.37°,62.69°,60.11°,58.25°,56.8°,55.08°,54.29°
2012-01-07,53.21°,52.2°,51.8°,50.82°,50.07°,49.72°,50.02°,50.49°,50.48°,52.06°,54.52°,57.92°,60.45°,62.21°,64.21°,65.23°,63.23°,59.52°,56.55°,54.76°,53.47°,52.66°,52.77°,51.86°
2012-01-08,51°,50.53°,51.24°,51.41°,50.2°,50.46°,49.8°,54.87°,55.81°,59.87°,63.7°,66.8°,69.9°,70.45°,70.91°,69.31°,67.63°,64.34°,60.94°,58.62°,56.98°,55.71°,54.55°,52.96°
2012-01-09,52.64°,52.79°,52.52°,51.73°,51.81°,51.14°,50.29°,49.96°,51.9°,59.79°,66.97°,70.85°,72.66°,74.61°,75.57°,75.2°,73.77°,68.28°,63.11°,60.09°,58.34°,56.81°,55.33°,53.21°
2012-01-10,52.08°,52.19°,51.63°,49.62°,48.78°,48.07°,47.76°,48.28°,50.27°,55.67°,62.76°,65.6°,69.4°,70.54°,71.82°,71.52°,68.12°,63.88°,60.64°,58.56°,56.87°,55.01°,53.7°,52.34°
2012-01-11,51.07°,50.93°,50.67°,50.97°,49.71°,49.74°,49.15°,48.35°,49.94°,53.76°,58.84°,62.16°,65.61°,67.65°,69.92°,69.5°,67.41°,64.81°,61°,59.28°,58.3°,58.37°,58.25°,57.45°
2012-01-12,57.28°,56.86°,56.52°,56.21°,56.11°,54.94°,54.71°,54.62°,54.07°,60.71°,66.61°,71.11°,72.16°,73.02°,73.88°,74.02°,73.54°,67.46°,63.74°,61.8°,59.6°,57.83°,56.96°,55.46°
2012-01-13,55.01°,52.98°,51.88°,51.64°,50.84°,51.51°,50.92°,48.81°,53.46°,60.14°,66.17°,70.79°,73.55°,75.79°,76.7°,76.23°,75.34°,71.49°,65.94°,62.77°,60.1°,58.78°,56.18°,56.6°
2012-01-14,54.95°,53.45°,52.61°,52.01°,51.77°,50.84°,50.19°,48.51°,48.73°,52.29°,55.86°,60.77°,63.92°,67.53°,68.97°,68.96°,66.2°,63.5°,59.83°,57.09°,55.26°,53.39°,51.19°,50.1°
2012-01-15,49.47°,47.45°,46.82°,46.99°,48.01°,48.64°,49.62°,49.41°,50.09°,52.82°,56.57°,59.87°,62.31°,62.42°,62.32°,62.61°,61.11°,59.77°,58.43°,57.66°,56.27°,55.33°,54.31°,53.99°
2012-01-16,52.8°,52.05°,51.07°,49.77°,49.25°,48.75°,48.7°,48.26°,49.72°,52.37°,54.71°,56.32°,57.36°,57.89°,57.99°,57.57°,56.67°,54.19°,52.54°,51.82°,50.96°,50.19°,50.04°,49.57°
2012-01-17,48.99°,47.52°,46.04°,44.9°,44.25°,43.56°,43.65°,43.92°,45.03°,48.06°,53.25°,55.31°,57.24°,58.5°,60.39°,60.66°,58.76°,55.92°,53.11°,51.8°,50.72°,49.2°,48.22°,47.61°
2012-01-18,46.76°,46.24°,45.23°,44.71°,43.93°,43.75°,43.45°,42.77°,44.45°,49.5°,55.76°,60.79°,63.3°,65.7°,67.13°,66.77°,63.3°,59.55°,55.71°,53.54°,52.71°,50.77°,49.99°,49.14°
2012-01-19,48.4°,47.79°,46.52°,45.69°,45.25°,44.4°,44.42°,44.73°,45.32°,51.01°,56.77°,62.81°,64.54°,66.86°,66.15°,64.54°,63.5°,59.97°,56.16°,54.13°,52.32°,51.25°,50.48°,49.72°
2012-01-20,48.96°,48.29°,48.18°,47.69°,47.88°,48.73°,49.24°,49.02°,49.39°,53.06°,57.28°,58.96°,62.31°,64.05°,64.06°,63.63°,62.37°,59.44°,56.48°,55.12°,54.39°,54.01°,54.25°,54.67°
2012-01-21,54.74°,54.77°,54.57°,53.93°,53.4°,53.39°,53.47°,54.01°,54.41°,55.5°,56.71°,57.47°,59.21°,61.08°,62.87°,63.73°,62.98°,60.49°,56.55°,55.71°,54.93°,53.31°,52.41°,50.56°
2012-01-22,49.27°,48.63°,48.02°,47.16°,46.76°,46.95°,47.77°,48.75°,50.28°,52.1°,55.35°,57°,58.65°,60.13°,62.34°,61.68°,61.02°,58.48°,55.71°,53.93°,53.11°,51.75°,51.92°,52.33°
2012-01-23,52.74°,52.38°,52.46°,52.43°,52.02°,51.99°,52.26°,51.63°,50.5°,50.03°,50.09°,50.37°,50.86°,51.58°,53.75°,53.55°,53.64°,53.56°,52.08°,50.79°,50.48°,50.15°,49.88°,49.12°
2012-01-24,48.95°,48.66°,48.61°,48.35°,46.97°,46.65°,46.39°,46.08°,47.61°,52.13°,56.51°,61.56°,64.25°,66.65°,68.11°,68.91°,67.97°,64.58°,61.53°,60.23°,59.19°,57.89°,56.48°,56.11°
2012-01-25,54.77°,54.15°,53.74°,53.24°,52.8°,51.73°,51.47°,52.38°,55.06°,62.96°,69.24°,74.79°,76.55°,79.4°,81.75°,80.93°,79.12°,75.24°,70.61°,67.46°,65.06°,63.25°,62.01°,60.38°
2012-01-26,59.87°,59.76°,57.48°,56.89°,57.84°,56.2°,55.47°,55.17°,58.34°,65.14°,72.93°,78.2°,80.24°,81.75°,80.34°,79.78°,78.55°,75.66°,71.46°,67.86°,65.88°,63.43°,60.73°,59.05°
2012-01-27,57.89°,57.08°,56.04°,55.55°,54.93°,54.09°,53.99°,54.41°,55.59°,58.55°,61.5°,66.45°,70.49°,74.67°,75.82°,76.59°,76.44°,73.58°,70.41°,69.21°,66.63°,66.71°,65.67°,64.9°
2012-01-28,64.32°,62.66°,61.98°,62.16°,60.96°,59.64°,58.53°,58.02°,58.83°,63.56°,67.1°,72.12°,73.62°,75.01°,77.27°,76.23°,75.51°,72.54°,68.01°,64.45°,62.33°,60.84°,59.91°,57.46°
2012-01-29,55.2°,53.75°,53.56°,52.56°,51.41°,49.64°,49.6°,53.22°,52.4°,60.5°,67.26°,72.61°,76.36°,77.87°,78.71°,78.45°,77.21°,73.32°,65.94°,64.35°,61.04°,58.69°,56.85°,55.28°
2012-01-30,53.99°,52.61°,51.67°,51.08°,49.78°,49.45°,47.98°,48.7°,50.13°,57.4°,64.04°,68.8°,69.9°,70.67°,70.3°,68.74°,66.71°,63.09°,60.42°,58.98°,57.46°,56.05°,54.48°,52.98°
2012-01-31,52.18°,52.69°,52.41°,51.87°,51.42°,50.63°,49.66°,49.92°,51.36°,54.62°,58.92°,63.12°,65.45°,66.98°,67.39°,65.38°,62.3°,59.92°,56.7°,55.5°,54.85°,53.76°,53.51°,52.61°
2012-02-01,51.87°,51.99°,51.48°,51.66°,50.73°,49.96°,49.97°,49.04°,50.76°,56.56°,61.32°,64.82°,66.45°,68.68°,68.16°,66.86°,64.51°,61.57°,57.99°,56.2°,54.85°,54.03°,53.1°,52.52°
2012-02-02,51.97°,51.16°,50.42°,50.03°,49.7°,49.18°,48.6°,47.97°,49.5°,54.81°,60.28°,64.79°,66.06°,68.89°,69.53°,68.81°,65.66°,62.89°,59.34°,57.63°,55.55°,54.73°,53.94°,53.29°
2012-02-03,53.16°,52.2°,51.22°,50.82°,50.1°,49.16°,49.15°,49.87°,51.29°,58.92°,64.06°,66.53°,68.25°,69.92°,70.9°,71.02°,70.02°,67.26°,62.34°,60.14°,58.8°,57.46°,56.55°,55.28°
2012-02-04,53.91°,52.78°,51.88°,50.85°,49.58°,49.07°,48.55°,48.83°,52.2°,58.41°,63.45°,68.07°,70.21°,71.82°,71.48°,71.43°,70.91°,68.85°,63.13°,61.72°,59.42°,58.02°,56.58°,55.54°
2012-02-05,54.49°,52.94°,51.7°,51.27°,50.8°,50.16°,49.12°,49.11°,53.44°,59.11°,65.53°,70.11°,71.48°,73.7°,74.17°,72.85°,72.09°,68.57°,64.97°,62.78°,61.26°,59.45°,57.81°,56.47°
2012-02-06,54.79°,52.96°,51.6°,50.98°,50.55°,50.05°,50.51°,51.68°,53.53°,57.97°,62.94°,66.17°,68.44°,69.35°,70.49°,70.12°,68.88°,67.58°,64.7°,63.23°,62.1°,61.48°,61.07°,60.3°
2012-02-07,59.12°,58.46°,57.82°,57.49°,56.62°,56.41°,57.24°,58.08°,57.6°,57.56°,58°,60.75°,62.13°,62.42°,61.75°,60.84°,61.17°,59.88°,58.68°,57.9°,57.73°,58.54°,57.48°,57.6°
2012-02-08,56.6°,55.82°,54.6°,53.47°,52.56°,51.86°,51.2°,51.2°,54.15°,61.88°,65.37°,69.66°,72.55°,73.23°,74.77°,75.31°,74.93°,72.3°,68.46°,66.04°,63.67°,62.25°,60.59°,59.24°
2012-02-09,58.41°,58.2°,56.59°,56.28°,55.48°,54.22°,55.69°,55.81°,59.67°,66.57°,72.82°,76.22°,78.63°,81.86°,81.11°,79.49°,77.08°,74.31°,69.47°,65.76°,63.19°,61.48°,60.03°,58.5°
2012-02-10,57.56°,55.73°,54.9°,54.03°,53.52°,52.68°,52.25°,52.1°,56.78°,62.73°,66.47°,69.66°,72.43°,73.7°,73.69°,73.38°,69.62°,66.81°,61.72°,60°,59.01°,58.31°,57.3°,56.78°
2012-02-11,56.36°,56.31°,56.32°,55.82°,55.3°,55.1°,54.82°,54.77°,55.52°,56.76°,58.24°,60.31°,60.99°,61.94°,61.99°,60.96°,59.97°,57.98°,56.01°,55.22°,54.44°,54.01°,53.26°,52.54°
2012-02-12,52.38°,51.68°,51.24°,50.92°,50.51°,50.34°,49.93°,49.51°,51.52°,55.14°,58.66°,60.51°,61.45°,62.61°,62.75°,62.68°,61.07°,58.77°,56.31°,55.35°,54.68°,54.44°,53.11°,52.91°
2012-02-13,52.89°,52.33°,51.97°,51.81°,52.23°,52.43°,52.5°,52.96°,53.48°,54.59°,55.26°,55.24°,55.56°,57.34°,58.46°,58.05°,57.07°,55.89°,54.01°,52.13°,51.57°,49.45°,49.18°,48.94°
2012-02-14,48.25°,47.02°,45.44°,44.33°,43.73°,43.28°,43.23°,43.23°,46.01°,51.51°,54.98°,58.09°,60.1°,61.65°,61.91°,61.95°,59.16°,56.61°,54.24°,52.72°,51.12°,50.27°,49.03°,48.43°
2012-02-15,47.6°,47.03°,46.87°,46.39°,45.98°,45.57°,46.37°,46.91°,48.66°,51.64°,53.26°,54.23°,53.3°,53.95°,52.29°,52.05°,52.13°,49.9°,49.18°,47.14°,46.35°,45.59°,45.78°,46.25°
2012-02-16,47.26°,47.06°,46.22°,45.15°,44.64°,44.43°,44.94°,46.41°,51.06°,55.34°,59.74°,62.83°,65.16°,66.42°,67.39°,68.36°,68.6°,68.23°,64.65°,60.6°,58.94°,57.62°,58.06°,56.03°
2012-02-17,55.22°,53.76°,52.82°,52.71°,50.86°,50.73°,50.31°,49.91°,54.01°,60.56°,65.45°,69.91°,70.23°,71.97°,71.69°,70.17°,67.63°,65.57°,60.65°,57.47°,55.66°,53.98°,53.17°,51.95°
2012-02-18,50.24°,49.85°,48.93°,48°,47.39°,47.65°,47.18°,46.12°,49.21°,55.07°,59.63°,62.41°,64°,65.05°,65.36°,64.69°,61.72°,57.65°,55.62°,54.67°,53.58°,53.28°,53.1°,52.46°
2012-02-19,52.42°,52.18°,52.03°,51.14°,50.15°,48.69°,48.08°,47.9°,49.98°,54.58°,57°,59.22°,59.88°,60.57°,60.56°,61.06°,60.52°,58.78°,55.43°,53.69°,52.64°,51.94°,51.17°,50.36°
2012-02-20,49.42°,49.16°,48.15°,47.65°,47.53°,47.44°,47.76°,47.88°,49.98°,52.5°,54.71°,57.61°,59.96°,60.65°,61.75°,62.99°,62.39°,59.44°,56.28°,54.09°,52.95°,51.47°,50.85°,49.96°
2012-02-21,49.27°,48.39°,47.54°,47.56°,46.81°,46.26°,46.15°,46.89°,50.24°,55.41°,63.03°,68.65°,72.22°,74.56°,74.84°,72.05°,70.64°,68.15°,64.84°,62.72°,60.26°,59.89°,59.28°,58.59°
2012-02-22,58.18°,56.78°,56.27°,54.76°,54.41°,53.85°,52.18°,52.59°,57.09°,65°,70.41°,75.1°,78.52°,80.2°,79.51°,78.57°,77.75°,74.84°,69.13°,65.67°,63.19°,60.71°,59.7°,58.69°
2012-02-23,57.67°,56.21°,55.15°,54.54°,53.91°,53.87°,52.47°,52.85°,57.76°,65.23°,70.19°,73.8°,76.29°,78.27°,80.46°,80.5°,77.76°,74.09°,69.23°,66.01°,63.39°,61.8°,59.97°,57.6°
2012-02-24,56.2°,55.48°,54.89°,53.83°,53.26°,52.67°,52.78°,53.62°,57.01°,60.71°,66.15°,69.3°,73.54°,75.65°,75.16°,72.31°,69.74°,64.64°,60.09°,57.26°,55.59°,54.67°,53.94°,54.11°
2012-02-25,53.86°,53.83°,53.88°,53.74°,53.71°,53.65°,53.62°,53.73°,54.68°,56.89°,60.77°,64.74°,67.11°,68.15°,67.05°,65.25°,62.77°,60.64°,57.09°,55.12°,53.71°,52.58°,52.17°,51.41°
2012-02-26,51.21°,50.82°,50.68°,50.76°,50.69°,51.01°,51.02°,50.69°,51.24°,53.24°,55.2°,58.5°,61.43°,64.76°,67.46°,66.91°,63.83°,60.36°,56.68°,55.03°,54.66°,54.5°,54.4°,54.41°
2012-02-27,54.43°,54.35°,54.33°,54.13°,53.15°,52.83°,52.86°,52.37°,52.5°,53.66°,54.32°,54.84°,54.96°,54.18°,52.52°,51.08°,50.54°,50.34°,50.04°,48.66°,48.81°,48.49°,47.84°,46.87°
2012-02-28,45.83°,45.42°,44.1°,42.62°,41.62°,41.03°,41.34°,41.97°,45.67°,49.58°,52.72°,55.31°,57.38°,56.8°,57.19°,56.9°,56.3°,55.2°,52.65°,50.63°,49.11°,47.93°,47.65°,46.33°
2012-03-01,52.99°,52.49°,51.75°,50.85°,50.37°,49.92°,49.17°,48.99°,51.45°,55.53°,58.05°,60.12°,62.13°,63.13°,62.46°,61.66°,61.11°,60.33°,57.83°,55.33°,54.39°,53.03°,52.63°,51.76°
2012-03-02,50.72°,50.04°,49.25°,48.28°,47.32°,46.72°,46.39°,46.91°,51.62°,56.9°,61.9°,65.65°,68.43°,70.53°,71.68°,72.37°,71.26°,69.18°,65.02°,61.46°,59.07°,57.41°,55.79°,54.5°
