,Past High Temperature,Past Low Temperature
2012-01-01,83.4,49.61
2012-01-02,83.99,51.08
2012-01-03,84.47,53.44
2012-01-04,87.29,54.39
2012-01-05,84.97,57.54
2012-01-06,75.47,51.34
2012-01-07,65.23,49.72
2012-01-08,70.91,49.8
2012-01-09,75.57,49.96
2012-01-10,71.82,47.76
2012-01-11,69.92,48.35
2012-01-12,74.02,54.07
2012-01-13,76.7,48.81
2012-01-14,68.97,48.51
2012-01-15,62.61,46.82
2012-01-16,57.99,48.26
2012-01-17,60.66,43.56
2012-01-18,67.13,42.77
2012-01-19,66.86,44.4
2012-01-20,64.06,47.69
2012-01-21,63.73,50.56
2012-01-22,62.34,46.76
2012-01-23,53.75,49.12
2012-01-24,68.91,46.08
2012-01-25,81.75,51.47
2012-01-26,81.75,55.17
2012-01-27,76.59,53.99
2012-01-28,77.27,57.46
2012-01-29,78.71,49.6
2012-01-30,70.67,47.98
2012-01-31,67.39,49.66
2012-02-01,68.68,49.04
2012-02-02,69.53,47.97
2012-02-03,71.02,49.15
2012-02-04,71.82,48.55
2012-02-05,74.17,49.11
2012-02-06,70.49,50.05
2012-02-07,62.42,56.41
2012-02-08,75.31,51.2
2012-02-09,81.86,54.22
2012-02-10,73.7,52.1
2012-02-11,61.99,52.54
2012-02-12,62.75,49.51
2012-02-13,58.46,48.94
2012-02-14,61.95,43.23
2012-02-15,54.23,45.57
2012-02-16,68.6,44.43
2012-02-17,71.97,49.91
2012-02-18,65.36,46.12
2012-02-19,61.06,47.9
2012-02-20,62.99,47.44
2012-02-21,74.84,46.15
2012-02-22,80.2,52.18
2012-02-23,80.5,52.47
2012-02-24,75.65,52.67
2012-02-25,68.15,51.41
2012-02-26,67.46,50.68
2012-02-27,54.96,46.87
2012-02-28,57.38,41.03
2012-03-01,63.13,48.99
2012-03-02,72.37,46.39
2012-03-03,79.09,49.85
2012-03-04,89.28,54.81
2012-03-05,83.28,56.84
2012-03-06,59.45,50.42
2012-03-07,63.87,46.59
2012-03-08,75.56,43.69
2012-03-09,83.67,51.99
2012-03-10,75.96,52.5
2012-03-11,65.99,52.33
2012-03-12,67.06,52.28
2012-03-13,65.27,50.9
2012-03-14,67.59,48.14
2012-03-15,66.89,52.84
2012-03-16,60.52,54.33
2012-03-17,54.79,44.3
2012-03-18,55.83,43.4
2012-03-19,60.77,42.88
2012-03-20,69.88,44.19
2012-03-21,76.23,49.13
2012-03-22,73.86,51.01
2012-03-23,67.97,53.41
2012-03-24,67.79,52.11
2012-03-25,56.79,47.61
2012-03-26,63.15,47.3
2012-03-27,66.85,46.43
2012-03-28,68.35,47.12
2012-03-29,69.23,54.27
2012-03-30,70.24,54.23
2012-03-31,61.6,53.26
2012-04-01,67.07,45.96
2012-04-02,76.56,51.11
2012-04-03,78.0,52.18
2012-04-04,75.05,52.78
2012-04-05,66.76,51.74
2012-04-06,74.91,47.15
2012-04-07,85.99,53.48
2012-04-08,82.9,52.26
2012-04-09,81.31,51.62
2012-04-10,69.23,48.81
2012-04-11,62.06,51.88
2012-04-12,62.71,47.89
2012-04-13,55.55,48.82
2012-04-14,62.33,44.38
2012-04-15,69.71,47.87
2012-04-16,80.24,50.79
2012-04-17,83.25,54.65
2012-04-18,79.23,55.97
2012-04-19,77.86,56.06
2012-04-20,89.67,56.89
2012-04-21,82.06,57.96
2012-04-22,73.83,58.28
2012-04-23,61.43,55.9
2012-04-24,72.3,54.56
2012-04-25,84.37,59.44
2012-04-26,65.31,57.66
2012-04-27,71.95,55.04
2012-04-28,81.94,54.24
2012-04-29,77.7,56.5
2012-04-30,71.13,60.08
2012-05-01,61.59,57.47
2012-05-02,63.82,57.18
2012-05-03,67.43,56.92
2012-05-04,70.37,53.65
2012-05-05,74.76,54.04
2012-05-06,74.36,57.24
2012-05-07,79.62,58.09
2012-05-08,79.63,57.27
2012-05-09,83.37,58.57
2012-05-10,74.92,60.13
2012-05-11,74.76,58.35
2012-05-12,76.27,58.78
2012-05-13,76.2,56.53
2012-05-14,79.14,54.97
2012-05-15,79.12,54.79
2012-05-16,86.04,58.16
2012-05-17,79.51,59.99
2012-05-18,72.87,58.56
2012-05-19,78.34,57.97
2012-05-20,86.41,58.02
2012-05-21,85.18,59.6
2012-05-22,81.71,59.64
2012-05-23,76.27,61.47
2012-05-24,73.38,60.5
2012-05-25,65.67,55.13
2012-05-26,65.64,51.22
2012-05-27,74.2,52.07
2012-05-28,83.03,57.01
2012-05-29,82.08,58.41
2012-05-30,78.89,57.85
2012-05-31,85.11,58.56
2012-06-01,80.75,60.11
2012-06-02,78.64,61.31
2012-06-03,76.53,61.74
2012-06-04,72.31,61.65
2012-06-05,74.24,59.17
2012-06-06,80.2,56.42
2012-06-07,84.47,59.46
2012-06-08,77.25,59.67
2012-06-09,73.84,61.17
2012-06-10,77.82,60.16
2012-06-11,78.01,60.38
2012-06-12,79.67,60.29
2012-06-13,75.49,61.32
2012-06-14,76.27,61.0
2012-06-15,74.66,60.96
2012-06-16,79.02,62.6
2012-06-17,86.42,59.96
2012-06-18,78.74,61.04
2012-06-19,76.93,60.65
2012-06-20,78.29,60.12
2012-06-21,77.96,61.2
2012-06-22,78.96,59.75
2012-06-23,78.35,58.39
2012-06-24,83.6,58.6
2012-06-25,81.51,56.39
2012-06-26,84.99,57.55
2012-06-27,87.63,59.5
2012-06-28,86.99,59.67
2012-06-29,85.45,59.98
2012-06-30,84.47,60.18
2012-07-01,80.97,61.37
2012-07-02,80.91,62.11
2012-07-03,77.7,62.8
2012-07-04,75.55,62.77
2012-07-05,76.32,62.96
2012-07-06,80.45,62.1
2012-07-07,82.22,59.02
2012-07-08,86.08,58.04
2012-07-09,92.16,61.41
2012-07-10,94.73,64.41
2012-07-11,95.41,63.93
