,Past High Temperature,Past Low Temperature
2012-01-01,84.9°,54.0°
2012-01-02,82.0°,48.9°
2012-01-03,81.0°,59.0°
2012-01-04,89.1°,63.0°
2012-01-05,86.0°,68.0°
2012-01-06,78.1°,57.0°
2012-01-07,70.0°,46.9°
2012-01-08,71.1°,50.0°
2012-01-09,77.0°,57.0°
2012-01-10,73.0°,51.1°
2012-01-11,69.1°,51.1°
2012-01-12,78.1°,55.9°
2012-01-13,81.0°,55.9°
2012-01-14,77.0°,57.9°
2012-01-15,64.9°,51.1°
2012-01-16,62.1°,51.1°
2012-01-17,62.1°,45.0°
2012-01-18,66.0°,45.0°
2012-01-19,66.9°,46.0°
2012-01-20,64.0°,48.0°
2012-01-21,68.0°,53.1°
2012-01-22,64.9°,48.0°
2012-01-23,60.1°,50.0°
2012-01-24,73.0°,50.0°
2012-01-25,84.0°,57.0°
2012-01-26,87.1°,64.0°
2012-01-27,84.9°,57.9°
2012-01-28,81.0°,59.0°
2012-01-29,84.0°,61.0°
2012-01-30,75.9°,55.0°
2012-01-31,70.0°,52.0°
2012-02-01,66.9°,51.1°
2012-02-02,69.1°,48.9°
2012-02-03,75.0°,50.0°
2012-02-04,75.0°,53.1°
2012-02-05,77.0°,55.0°
2012-02-06,73.0°,55.0°
2012-02-07,69.1°,55.9°
2012-02-08,78.1°,55.0°
2012-02-09,82.0°,62.1°
2012-02-10,73.0°,54.0°
2012-02-11,64.9°,54.0°
2012-02-12,66.0°,50.0°
2012-02-13,60.1°,50.0°
2012-02-14,60.1°,43.0°
2012-02-15,60.1°,45.0°
2012-02-16,69.1°,46.9°
2012-02-17,71.1°,57.0°
2012-02-18,66.0°,45.0°
2012-02-19,61.0°,46.9°
2012-02-20,63.0°,46.0°
2012-02-21,73.9°,46.0°
2012-02-22,77.0°,53.1°
2012-02-23,79.0°,55.0°
2012-02-24,72.0°,50.0°
2012-02-25,63.0°,52.0°
2012-02-26,63.0°,46.0°
2012-02-27,57.9°,48.9°
2012-02-28,59.0°,39.0°
2012-03-01,61.0°,46.9°
2012-03-02,71.1°,48.0°
2012-03-03,73.9°,55.0°
2012-03-04,84.9°,61.0°
2012-03-05,82.0°,64.9°
2012-03-06,72.0°,46.9°
2012-03-07,63.0°,46.0°
2012-03-08,70.0°,44.1°
2012-03-09,80.1°,55.0°
2012-03-10,75.9°,55.9°
2012-03-11,64.9°,52.0°
2012-03-12,61.0°,48.9°
2012-03-13,60.1°,51.1°
2012-03-14,63.0°,46.9°
2012-03-15,60.1°,52.0°
2012-03-16,57.0°,53.1°
2012-03-17,57.0°,50.0°
2012-03-18,55.0°,43.0°
2012-03-19,57.0°,42.1°
2012-03-20,64.0°,44.1°
2012-03-21,71.1°,50.0°
2012-03-22,66.9°,50.0°
2012-03-23,64.9°,50.0°
2012-03-24,64.0°,48.9°
2012-03-25,57.9°,46.9°
2012-03-26,60.1°,46.0°
2012-03-27,62.1°,46.0°
2012-03-28,63.0°,46.9°
2012-03-29,64.0°,53.1°
2012-03-30,64.0°,53.1°
2012-03-31,61.0°,51.1°
2012-04-01,63.0°,46.0°
2012-04-02,75.0°,55.0°
2012-04-03,75.0°,55.0°
2012-04-04,68.0°,52.0°
2012-04-05,66.0°,52.0°
2012-04-06,71.1°,50.0°
2012-04-07,82.0°,59.0°
2012-04-08,75.9°,55.0°
2012-04-09,72.0°,52.0°
2012-04-10,64.9°,46.0°
2012-04-11,59.0°,51.1°
2012-04-12,60.1°,46.9°
2012-04-13,57.9°,48.9°
2012-04-14,61.0°,43.0°
2012-04-15,63.0°,48.0°
2012-04-16,72.0°,50.0°
2012-04-17,73.9°,54.0°
2012-04-18,71.1°,54.0°
2012-04-19,69.1°,54.0°
2012-04-20,75.9°,54.0°
2012-04-21,66.9°,55.0°
2012-04-22,64.0°,55.0°
2012-04-23,61.0°,53.1°
2012-04-24,68.0°,52.0°
2012-04-25,82.0°,55.9°
